ir,red,heart_rate,gsr,cortisol
200612,145135,71,669,17.63
200953,145206,70,649,18.42
200519,145018,65,658,18.02
192753,141476,77,916,18.44
191048,140713,77,911,18.79
190038,140165,83,921,18.88
188818,139331,82,921,18.68
190362,139784,90,905,18.84
191665,140600,82,906,18.45
193343,140708,78,912,18.64
194799,141373,79,819,18.23
195773,141764,72,784,18.09
195748,141460,67,784,18.74
195418,141279,72,774,18.25
196876,142044,70,777,18.13
195951,141600,71,784,18.07
195387,141265,87,777,17.92
196301,141624,80,789,18.81
196601,141618,79,784,18.76
196577,141729,72,784,18.47
195824,141471,78,784,18.58
196847,141753,68,777,18.41
198544,142419,74,716,17.87
198935,142652,66,711,18.4
198719,142546,73,708,18.35
197175,142094,69,752,17.88
197666,142264,78,689,17.83
198365,0,69,867,18.19
195694,139024,64,566,17.81
50532,52156,79,1245,19.19
1086,870,77,1104,18.59
874,615,83,966,18.94
891,678,73,1040,19.31
1995,1123,139,3402,21.24
1977,1154,128,2795,21.05
1980,1115,100,1925,20.61
2009,1101,61,46,12.63
2044,1126,59,16,10.21
2035,1130,59,1,5.93
2101,1867,158,4095,21.64
0,797,125,3216,20.8
1479,1041,131,3255,21.02
946,740,99,1897,20.28
3348,1976,63,626,17.7
3326,2600,58,160,15.11
2937,2341,78,1081,19.34
153377,140193,66,432,17.2
160575,127465,63,378,17.37
186535,138555,74,589,18.08
177718,131126,67,462,16.85
184056,135059,69,410,16.83
173818,128582,66,400,17.01
151561,118268,60,393,16.85
108257,95257,59,425,16.61
106252,93279,63,462,17.6
89892,79699,69,358,16.51
190964,137602,74,735,17.99
190167,137207,69,645,18.44
186498,135179,72,634,17.65
186606,135338,71,592,17.68
186949,134948,71,606,17.87
186586,134513,69,707,17.75
185326,133838,91,754,18.61
995,803,72,851,18.48
1362,1012,68,781,18.06
1343,961,70,498,17.75
1378,1031,73,777,19.56
1406,1006,73,496,17.11
1552,1158,62,141,15.02
1624,1181,72,449,17.3
1610,1115,66,699,18.58
151966,124709,75,706,17.76
193668,140131,73,702,18.57
193671,139937,73,729,18.36
193337,138734,70,721,17.91
191800,138125,71,734,18.0
191790,138014,71,720,17.95
190025,137334,74,721,18.3
189679,137006,73,714,18.28
189923,136956,78,715,17.76
190051,136899,72,699,17.82
189287,136527,76,703,18.44
189591,136592,75,675,18.19
190190,136845,70,663,18.1
190307,136871,71,656,18.44
189565,136495,76,667,17.85
189519,136489,69,651,17.95
188963,136271,89,643,18.05
188409,136094,67,635,18.02
188748,136224,70,630,17.81
188556,136327,73,621,17.66
188909,136593,70,602,17.07
188346,136425,69,592,17.73
188288,136458,70,593,17.88
188997,136740,68,606,17.36
190479,137375,63,587,17.43
190010,137190,67,581,17.9
190666,137519,65,574,17.57
191059,137751,62,560,18.16
190917,137922,65,539,17.95
191004,138066,68,533,17.41
